2015-01-05: 原买24025819, 原卖36750289, 调整后买36750289，卖36750289
2015-01-06: 原买40808115, 原卖43034136, 调整后买43034136，卖43034136
2015-01-07: 原买58314877, 原卖58314877, 调整后买58314877，卖58314877
2015-01-08: 原买59658198, 原卖61773929, 调整后买61773929，卖61773929
2015-01-09: 原买38365148, 原卖40474731, 调整后买40474731，卖40474731
2015-01-12: 原买57403721, 原卖57403721, 调整后买57403721，卖57403721
2015-01-13: 原买47734324, 原卖52015056, 调整后买52015056，卖52015056
2015-01-14: 原买34829125, 原卖34829125, 调整后买34829125，卖34829125
2015-01-15: 原买45062685, 原卖47291648, 调整后买47291648，卖47291648
2015-01-16: 原买35089770, 原卖37357734, 调整后买37357734，卖37357734
2015-01-19: 原买55986096, 原卖33444301, 调整后买55986096，卖55986096
2015-01-20: 原买55298588, 原卖57495513, 调整后买57495513，卖57495513
2015-01-21: 原买55436980, 原卖57736161, 调整后买57736161，卖57736161
2015-01-22: 原买56379563, 原卖58710310, 调整后买58710310，卖58710310
2015-01-23: 原买49637769, 原卖49637769, 调整后买49637769，卖49637769
2015-01-26: 原买67542569, 原卖69937081, 调整后买69937081，卖69937081
2015-01-27: 原买72992950, 原卖75413947, 调整后买75413947，卖75413947
2015-01-28: 原买60760165, 原卖63175246, 调整后买63175246，卖63175246
2015-01-29: 原买75593577, 原卖78021186, 调整后买78021186，卖78021186
2015-01-30: 原买96934090, 原卖96934090, 调整后买96934090，卖96934090
2015-02-02: 原买77644005, 原卖77644005, 调整后买77644005，卖77644005
2015-02-03: 原买59960458, 原卖64923881, 调整后买64923881，卖64923881
2015-02-04: 原买99946506, 原卖102501566, 调整后买102501566，卖102501566
2015-02-05: 原买84495389, 原卖84495389, 调整后买84495389，卖84495389
2015-02-06: 原买61280729, 原卖61280729, 调整后买61280729，卖61280729
2015-02-09: 原买70859772, 原卖73387480, 调整后买73387480，卖73387480
2015-02-10: 原买57426384, 原卖60148902, 调整后买60148902，卖60148902
2015-02-11: 原买82366899, 原卖82366899, 调整后买82366899，卖82366899
2015-02-12: 原买80551780, 原卖80551780, 调整后买80551780，卖80551780
2015-02-13: 原买50026936, 原卖52782653, 调整后买52782653，卖52782653
2015-02-16: 原买74244869, 原卖77067815, 调整后买77067815，卖77067815
2015-02-17: 原买75158962, 原卖78031637, 调整后买78031637，卖78031637
2015-02-25: 原买72797385, 原卖72797385, 调整后买72797385，卖72797385
2015-02-26: 原买63457997, 原卖75457114, 调整后买75457114，卖75457114
2015-02-27: 原买78906139, 原卖78906139, 调整后买78906139，卖78906139
2015-03-02: 原买86121695, 原卖89189397, 调整后买89189397，卖89189397
2015-03-03: 原买88528143, 原卖88528143, 调整后买88528143，卖88528143
2015-03-04: 原买77958662, 原卖93457753, 调整后买93457753，卖93457753
2015-03-05: 原买87550567, 原卖87550567, 调整后买87550567，卖87550567
2015-03-06: 原买66056532, 原卖69188911, 调整后买69188911，卖69188911
2015-03-09: 原买97466722, 原卖100683162, 调整后买100683162，卖100683162
2015-03-10: 原买78631122, 原卖81888697, 调整后买81888697，卖81888697
2015-03-11: 原买111195533, 原卖111195533, 调整后买111195533，卖111195533
2015-03-12: 原买88472707, 原卖88472707, 调整后买88472707，卖88472707
2015-03-13: 原买82881465, 原卖86323303, 调整后买86323303，卖86323303
2015-03-16: 原买85556014, 原卖92656337, 调整后买92656337，卖92656337
2015-03-17: 原买95293988, 原卖98945763, 调整后买98945763，卖98945763
2015-03-18: 原买84576474, 原卖84576474, 调整后买84576474，卖84576474
