#####################[2015-12-30 12:55:59] begin to write log #########################
[12-30 12:55:59]:[NOTICE]:[h5api.cpp, InitApi, 531]: [h5api][pid: 18368][Lib Version: v1.0.16]
[12-30 12:55:59]:[NOTICE]:[h5api.cpp, InitApi, 576]: 业务处理线程最大消息积压个数:10000, 消息池内初始化消息个数为:5000.
[12-30 12:55:59]:[NOTICE]:[h5api.cpp, InitApi, 805]: h5api initialized successfully: config file[test.xml], market count 2!
[12-30 12:55:59]:[NOTICE]:[h5api.cpp, InitApi, 810]: 市场[0x101]与行情服务器建立连接...
[12-30 12:55:59]:[NOTICE]:[h5api.cpp, InitApi, 810]: 市场[0x102]与行情服务器建立连接...
[12-30 12:56:02]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:56:02]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:56:05]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:56:05]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:56:08]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:56:08]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:56:11]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:56:11]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:56:13]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:56:13]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:56:15]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:56:15]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:56:18]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:56:18]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:56:20]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:56:20]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:56:22]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:56:22]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:56:24]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:56:24]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:56:26]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:56:26]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:56:28]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:56:28]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:56:30]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:56:30]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:56:32]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:56:32]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:56:34]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:56:34]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:56:36]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:56:36]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:56:38]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:56:38]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:56:40]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:56:40]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:56:42]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:56:42]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:56:44]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:56:44]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:56:46]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:56:46]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:56:48]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:56:48]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:56:50]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:56:50]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:56:52]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:56:52]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:56:54]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:56:54]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:56:56]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:56:56]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:56:58]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:56:58]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:57:00]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:57:00]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:57:02]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[12-30 12:57:02]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[12-30 12:57:02]:[NOTICE]:[workthread.cpp, CBizThread::Run, 137]: MarketMemBuffPool: GetAlloced 5000, GetEmpty 5000, GetTimes 65, ReleaseTime 65！
[12-30 12:57:02]:[NOTICE]:[h5api.cpp, UnInitApi, 1302]: h5api released successfully!
