合约编码	合约交易代码	合约简称	标的券名称及代码	类型	行权价	合约单位	期权行权日	行权交收日	到期日	新挂	涨停价格	跌停价格	前结算价	调整	停牌
10000437	510050C1511M02050	50ETF购11月2050	50ETF(510050)	认购	2.050	10000	20151125	20151126	20151125	否	0.6697	0.1757	0.4227	否	否
10000427	510050C1511M02100	50ETF购11月2100	50ETF(510050)	认购	2.100	10000	20151125	20151126	20151125	否	0.6200	0.1260	0.3730	否	否
10000428	510050C1511M02150	50ETF购11月2150	50ETF(510050)	认购	2.150	10000	20151125	20151126	20151125	否	0.5703	0.0763	0.3233	否	否
10000429	510050C1511M02200	50ETF购11月2200	50ETF(510050)	认购	2.200	10000	20151125	20151126	20151125	否	0.5208	0.0268	0.2738	否	否
10000430	510050C1511M02250	50ETF购11月2250	50ETF(510050)	认购	2.250	10000	20151125	20151126	20151125	否	0.4719	0.0001	0.2249	否	否
10000431	510050C1511M02300	50ETF购11月2300	50ETF(510050)	认购	2.300	10000	20151125	20151126	20151125	否	0.4190	0.0001	0.1720	否	否
10000441	510050C1511M02350	50ETF购11月2350	50ETF(510050)	认购	2.350	10000	20151125	20151126	20151125	否	0.3785	0.0001	0.1315	否	否
10000442	510050C1511M02400	50ETF购11月2400	50ETF(510050)	认购	2.400	10000	20151125	20151126	20151125	否	0.3383	0.0001	0.0913	否	否
10000447	510050C1511M02450	50ETF购11月2450	50ETF(510050)	认购	2.450	10000	20151125	20151126	20151125	否	0.3090	0.0001	0.0620	否	否
10000461	510050C1511M02500	50ETF购11月2500	50ETF(510050)	认购	2.500	10000	20151125	20151126	20151125	否	0.2850	0.0001	0.0410	否	否
10000467	510050C1511M02550	50ETF购11月2550	50ETF(510050)	认购	2.550	10000	20151125	20151126	20151125	否	0.2665	0.0001	0.0275	否	否
10000471	510050C1511M02600	50ETF购11月2600	50ETF(510050)	认购	2.600	10000	20151125	20151126	20151125	否	0.2528	0.0001	0.0188	否	否
10000475	510050C1511M02650	50ETF购11月2650	50ETF(510050)	认购	2.650	10000	20151125	20151126	20151125	否	0.2413	0.0001	0.0123	否	否
10000393	510050C1512M01800	50ETF购12月1800	50ETF(510050)	认购	1.800	10000	20151223	20151224	20151223	否	0.9256	0.4316	0.6786	否	否
10000394	510050C1512M01850	50ETF购12月1850	50ETF(510050)	认购	1.850	10000	20151223	20151224	20151223	否	0.8760	0.3820	0.6290	否	否
10000395	510050C1512M01900	50ETF购12月1900	50ETF(510050)	认购	1.900	10000	20151223	20151224	20151223	否	0.8267	0.3327	0.5797	否	否
10000365	510050C1512M01950	50ETF购12月1950	50ETF(510050)	认购	1.950	10000	20151223	20151224	20151223	否	0.7784	0.2844	0.5314	否	否
10000366	510050C1512M02000	50ETF购12月2000	50ETF(510050)	认购	2.000	10000	20151223	20151224	20151223	否	0.7304	0.2364	0.4834	否	否
10000367	510050C1512M02050	50ETF购12月2050	50ETF(510050)	认购	2.050	10000	20151223	20151224	20151223	否	0.6820	0.1880	0.4350	否	否
10000368	510050C1512M02100	50ETF购12月2100	50ETF(510050)	认购	2.100	10000	20151223	20151224	20151223	否	0.6215	0.1275	0.3745	否	否
10000341	510050C1512M02150	50ETF购12月2150	50ETF(510050)	认购	2.150	10000	20151223	20151224	20151223	否	0.5706	0.0766	0.3236	否	否
10000342	510050C1512M02200	50ETF购12月2200	50ETF(510050)	认购	2.200	10000	20151223	20151224	20151223	否	0.5315	0.0375	0.2845	否	否
10000331	510050C1512M02250	50ETF购12月2250	50ETF(510050)	认购	2.250	10000	20151223	20151224	20151223	否	0.4900	0.0001	0.2430	否	否
10000325	510050C1512M02300	50ETF购12月2300	50ETF(510050)	认购	2.300	10000	20151223	20151224	20151223	否	0.4547	0.0001	0.2077	否	否
10000319	510050C1512M02350	50ETF购12月2350	50ETF(510050)	认购	2.350	10000	20151223	20151224	20151223	否	0.4219	0.0001	0.1749	否	否
10000303	510050C1512M02400	50ETF购12月2400	50ETF(510050)	认购	2.400	10000	20151223	20151224	20151223	否	0.3933	0.0001	0.1463	否	否
10000304	510050C1512M02450	50ETF购12月2450	50ETF(510050)	认购	2.450	10000	20151223	20151224	20151223	否	0.3680	0.0001	0.1210	否	否
10000285	510050C1512M02500	50ETF购12月2500	50ETF(510050)	认购	2.500	10000	20151223	20151224	20151223	否	0.3433	0.0001	0.0993	否	否
10000279	510050C1512M02550	50ETF购12月2550	50ETF(510050)	认购	2.550	10000	20151223	20151224	20151223	否	0.3200	0.0001	0.0810	否	否
10000269	510050C1512M02600	50ETF购12月2600	50ETF(510050)	认购	2.600	10000	20151223	20151224	20151223	否	0.3019	0.0001	0.0679	否	否
10000270	510050C1512M02650	50ETF购12月2650	50ETF(510050)	认购	2.650	10000	20151223	20151224	20151223	否	0.2848	0.0001	0.0558	否	否
10000271	510050C1512M02700	50ETF购12月2700	50ETF(510050)	认购	2.700	10000	20151223	20151224	20151223	否	0.2698	0.0001	0.0458	否	否
